account_id,account_name,segment,industry,region,signup_date,contract_start_date,contract_end_date,billing_term,contract_value,seats_licensed,seats_active,mau_m5,mau_m4,mau_m3,mau_m2,mau_m1,mau_m0,support_tickets_90d,escalations_90d,last_login_date,csat,data_quality_flag,customer_tenure_days,seat_utilization,annual_contract_value,avg_mau,usage_trend,days_to_renewal,high_support,has_escalation,seat_score,csat_missing,csat_score,mau_score,usage_score,support_score,escalation_score,revenue_score,renewal_score,customer_health_score,customer_status,priority_score,priority_rank
ACC-1235,Larkfield Foods,Mid-Market,FinServ,EMEA,2026-03-21,2026-03-21,2026-04-04,monthly,3326.91,110,39,20,20,19,0,0,0,6,1,2025-12-26,2.5,0,72,35.45454545454545,3326.91,9.833333333333334,-20,-58.0,0,1,0,0,0,10,0,7,7,5,5,34,At Risk,54.0,1
ACC-1091,Yarrow Group,SMB,Manufacturing,EMEA,2023-05-24,2023-05-24,2026-08-19,monthly,476.33,13,5,2,2,2,1,1,0,4,1,2026-04-19,2.8,0,1104,38.46153846153847,476.33,1.3333333333333333,-2,79.0,0,1,0,0,0,0,5,7,7,5,15,39,At Risk,53.5,2
ACC-1195,Juniper Foods,SMB,Hospitality,APAC,2024-11-22,2024-11-22,2026-07-27,annual,2389.31,5,3,2,1,1,2,2,0,7,1,2026-06-01,2.7,0,556,60.0,2389.31,1.3333333333333333,-2,56.0,0,1,10,0,0,0,5,4,7,5,10,41,At Risk,51.5,3
ACC-1027,Helix Partners,SMB,Construction,North America,2024-11-19,2024-11-19,2026-08-05,monthly,614.96,17,6,0,0,0,0,0,0,3,2,2026-02-05,3.0,0,559,35.294117647058826,614.96,0.0,0,65.0,0,1,0,0,0,0,10,10,4,5,15,44,At Risk,51.0,4
ACC-1397,Crestline Health,Mid-Market,FinServ,North America,2022-11-02,2022-11-02,2025-09-20,monthly,6921.84,244,117,6,3,5,6,10,1,2,2,2026-05-17,2.8,0,1307,47.950819672131146,6921.84,5.166666666666667,-5,-254.0,0,1,0,0,0,10,5,10,4,10,5,44,At Risk,50.5,5
ACC-1157,Quantum Supply,SMB,Healthcare,APAC,2022-11-11,2022-11-11,2026-08-28,monthly,362.79,14,6,3,2,2,1,1,0,4,2,2026-03-05,3.1,0,1298,42.85714285714285,362.79,1.5,-3,88.0,0,1,0,0,10,0,5,7,4,5,15,46,At Risk,50.0,6
ACC-1344,Pinnacle Media,SMB,SaaS,North America,2025-11-06,2025-11-06,2026-11-10,annual,4769.0,15,6,3,3,2,2,1,0,2,0,2026-04-10,2.6,0,207,40.0,4769.0,1.8333333333333333,-3,162.0,0,0,0,0,0,0,5,10,10,10,20,55,At Risk,48.0,7
ACC-1169,Vista Partners,Mid-Market,Education,North America,2023-01-07,2023-01-07,2027-01-03,annual,73368.19,176,78,73,68,55,43,31,18,6,3,2026-05-21,3.0,0,1241,44.31818181818182,73368.19,48.0,-55,216.0,0,1,0,0,0,15,0,7,0,20,20,62,At Risk,47.5,8
ACC-1321,Umbra Dynamics,Mid-Market,Hospitality,EMEA,2023-12-16,2023-12-16,2026-06-02,annual,42480.47,60,24,21,19,21,20,20,19,8,0,2026-06-01,2.8,0,898,40.0,42480.47,20.0,-2,1.0,0,0,0,0,0,15,5,4,10,15,5,54,At Risk,47.0,9
ACC-1345,Garnet Group,SMB,Hospitality,EMEA,2026-04-20,2026-04-20,2026-12-09,annual,4536.69,15,8,4,3,2,2,1,1,4,1,2026-05-26,3.0,0,42,53.333333333333336,4536.69,2.1666666666666665,-3,191.0,0,1,10,0,0,0,5,7,7,10,20,59,At Risk,46.0,10
ACC-1076,Zephyr Health,SMB,Healthcare,EMEA,2024-02-09,2024-02-09,2026-05-21,annual,14740.88,33,15,6,6,4,3,2,1,3,1,2026-05-22,3.7,0,843,45.45454545454545,14740.88,3.6666666666666665,-5,-11.0,0,1,0,1,15,0,5,10,7,15,5,57,At Risk,45.5,11
ACC-1297,Maple Dynamics,Mid-Market,FinServ,North America,2025-02-23,2025-02-23,2026-10-06,annual,49384.31,98,47,5,6,3,6,6,2,7,2,2026-05-30,3.7,0,463,47.95918367346938,49384.31,4.666666666666667,-3,127.0,0,1,0,1,15,0,5,4,4,15,20,63,At Risk,45.5,12
ACC-1387,Garnet Solutions,SMB,Logistics,North America,2022-06-04,2022-06-04,2026-03-19,annual,9881.46,38,16,9,10,10,9,9,10,5,0,2026-05-29,2.6,0,1458,42.10526315789473,9881.46,9.5,1,-74.0,0,0,0,0,0,10,10,7,10,15,5,57,At Risk,45.5,13
ACC-1232,Fjord Partners,SMB,Hospitality,North America,2022-05-28,2022-05-28,2026-06-24,annual,5694.66,30,17,0,0,0,0,0,1,1,0,2026-05-27,2.9,0,1465,56.66666666666666,5694.66,0.1666666666666666,1,23.0,0,0,10,0,0,0,10,10,10,10,5,55,At Risk,45.0,14
ACC-1073,Willow Holdings,Mid-Market,Healthcare,EMEA,2025-08-12,2025-08-12,2026-05-28,annual,50197.8,83,39,37,37,36,37,38,35,7,2,2026-05-16,3.5,0,293,46.98795180722892,50197.8,36.66666666666666,-2,-4.0,0,1,0,0,10,15,5,4,4,15,5,58,At Risk,45.0,15
ACC-1143,Pinnacle Capital,SMB,Hospitality,North America,2023-07-04,2023-07-04,2026-10-23,monthly,319.48,9,4,3,2,2,1,1,0,4,1,2026-04-03,3.7,0,1063,44.44444444444444,319.48,1.5,-3,144.0,0,1,0,1,15,0,5,7,7,5,20,59,At Risk,44.5,16
ACC-1408,Quantum Capital,SMB,Retail,APAC,2023-12-08,2023-12-08,2026-11-08,annual,3136.04,6,3,1,1,1,0,1,1,11,2,2026-05-15,3.5,0,906,50.0,3136.04,0.8333333333333334,0,160.0,1,1,10,0,10,0,10,0,4,5,20,59,At Risk,44.5,17
ACC-1007,Onyx Dynamics,SMB,Hospitality,APAC,2025-12-29,2025-12-29,2026-09-26,annual,3940.44,10,4,2,3,2,3,3,2,7,2,2026-05-27,3.7,0,154,40.0,3940.44,2.5,0,117.0,0,1,0,1,15,0,10,4,4,10,20,63,At Risk,44.0,18
ACC-1210,Yarrow Supply,Mid-Market,SaaS,APAC,2023-04-15,2023-04-15,2026-04-02,monthly,3074.76,153,68,62,57,43,0,0,0,4,1,2025-10-05,3.8,0,1143,44.44444444444444,3074.76,27.0,-62,-60.0,0,1,0,0,15,15,0,7,7,5,5,54,At Risk,44.0,19
ACC-1205,Cobalt Trading,Mid-Market,Hospitality,North America,2022-07-07,2022-07-07,2026-07-05,monthly,8579.57,225,86,39,37,29,24,15,9,4,1,2026-05-30,3.5,0,1425,38.22222222222222,8579.57,25.5,-30,34.0,0,1,0,0,10,15,0,7,7,10,10,59,At Risk,44.0,20
ACC-1183,Yarrow Industries,SMB,SaaS,EMEA,2024-05-17,2024-05-17,2026-04-16,annual,3152.01,10,8,4,5,4,5,4,4,6,1,2026-05-17,3.0,0,745,80.0,3152.01,4.333333333333333,0,-46.0,0,1,20,0,0,0,10,7,7,5,5,54,At Risk,44.0,21
ACC-1291,Solace Dynamics,SMB,Media,North America,2026-04-26,2026-04-26,2026-10-01,annual,2654.83,9,3,2,1,2,2,1,1,2,0,2026-05-13,3.2,0,36,33.33333333333333,2654.83,1.5,-1,122.0,0,0,0,0,10,0,5,10,10,5,20,60,At Risk,44.0,22
ACC-1399,Xenon Networks,Mid-Market,Manufacturing,APAC,2024-10-25,2024-10-25,2026-07-15,monthly,10777.56,243,96,37,44,48,53,59,0,4,3,2026-05-29,3.7,0,584,39.50617283950617,10777.56,40.16666666666666,-37,44.0,0,1,0,1,15,15,0,7,0,15,10,62,At Risk,44.0,23
ACC-1019,Pioneer Media,SMB,SaaS,APAC,2025-12-17,2025-12-17,2026-09-15,annual,15186.54,31,14,9,8,9,9,9,8,4,0,2026-05-29,2.9,0,166,45.16129032258064,15186.54,8.666666666666666,-1,106.0,0,0,0,0,0,10,5,7,10,15,20,67,At Risk,43.5,24
ACC-1167,Xenon Labs,SMB,SaaS,North America,2022-09-19,2022-09-19,2026-03-14,monthly,256.16,9,5,2,1,1,1,1,1,0,0,2026-05-14,3.1,0,1351,55.55555555555556,256.16,1.1666666666666667,-1,-79.0,0,0,10,0,10,0,5,10,10,5,5,55,At Risk,43.5,25
ACC-1062,Ionic Media,SMB,SaaS,North America,2023-06-06,2023-06-06,2026-06-30,annual,7009.24,35,13,10,11,11,10,11,10,6,1,2026-05-27,3.3,0,1091,37.142857142857146,7009.24,10.5,0,29.0,0,1,0,0,10,10,10,7,7,10,5,59,At Risk,43.0,26
ACC-1398,Vista Works,Mid-Market,SaaS,North America,2024-10-08,2024-10-08,2026-03-24,annual,64508.81,99,48,28,31,29,0,0,0,6,0,2025-11-08,3.7,0,601,48.48484848484848,64508.81,14.666666666666666,-28,-69.0,0,0,0,1,15,10,0,7,10,15,5,62,At Risk,43.0,27
ACC-1200,Pinnacle Networks,SMB,SaaS,North America,2026-05-09,2026-05-09,2027-05-09,monthly,233.38,9,3,0,0,0,0,0,1,1,1,2026-05-30,3.6,0,23,33.33333333333333,233.38,0.1666666666666666,1,342.0,0,1,0,0,10,0,10,10,7,5,20,62,At Risk,43.0,28
ACC-1310,Yarrow Corp,Mid-Market,Hospitality,North America,2024-01-08,2024-01-08,2026-02-04,monthly,3490.16,130,58,59,54,54,57,50,54,9,1,2026-05-14,3.7,0,875,44.61538461538462,3490.16,54.66666666666666,-5,-117.0,0,1,0,0,15,15,5,4,7,5,5,56,At Risk,43.0,29
ACC-1378,Quill Health,SMB,Healthcare,EMEA,2025-01-28,2025-01-28,2026-11-02,monthly,329.27,12,5,3,2,2,2,3,2,4,0,2026-06-01,3.7,0,489,41.66666666666667,329.27,2.333333333333333,-1,154.0,0,0,0,1,15,0,5,7,10,5,20,62,At Risk,43.0,30
ACC-1080,Lumen Group,Mid-Market,SaaS,North America,2024-06-23,2024-06-23,2026-01-11,annual,-4500.0,67,42,15,16,20,0,0,0,3,1,2025-10-12,3.6,0,708,62.68656716417911,-4500.0,8.5,-15,-141.0,0,1,10,0,10,10,0,10,7,5,5,57,At Risk,42.5,31
ACC-1044,Delta Networks,SMB,Logistics,EMEA,2022-09-10,2022-09-10,2027-03-31,annual,8781.72,31,15,1,1,1,1,0,1,7,1,2026-05-20,3.7,0,1360,48.38709677419355,8781.72,0.8333333333333334,0,303.0,0,1,0,1,15,0,10,4,7,10,20,66,At Risk,42.5,32
