account_id,account_name,segment,industry,region,signup_date,contract_start_date,contract_end_date,billing_term,contract_value,seats_licensed,seats_active,mau_m5,mau_m4,mau_m3,mau_m2,mau_m1,mau_m0,support_tickets_90d,escalations_90d,last_login_date,csat,customer_tenure_days,seat_utilization,avg_mau,usage_trend,days_to_renewal,high_support,has_escalation
ACC-1132,Solace Holdings,Mid-Market,Logistics,North America,2024-12-25,2024-12-25,2026-12-25,monthly,1660.09,43,17,0,1,1,1,1,1,6,0,2026-05-22,,545,39.53488372093023,0.8333333333333334,1,184.0,0,0
ACC-1341,Cedar Partners,Mid-Market,Hospitality,EMEA,2025-01-28,2025-01-28,2026-12-04,annual,67135.04,144,107,0,0,9,5,11,2,0,0,2026-05-20,4.3,511,74.30555555555556,4.5,2,163.0,0,0
ACC-1118,Nimbus Industries,SMB,Logistics,North America,2024-01-29,2024-01-29,2026-12-28,annual,5723.84,26,12,10,10,11,11,11,10,6,1,2026-05-23,,876,46.15384615384615,10.5,0,187.0,0,1
ACC-1212,Helix Labs,Mid-Market,Retail,North America,2023-04-13,2023-04-13,2027-06-23,annual,61588.39,132,99,62,53,40,33,25,14,7,0,2026-05-14,3.1,1167,75.0,37.833333333333336,-48,364.0,0,0
ACC-1096,Quill Technologies,SMB,SaaS,North America,2024-06-05,2024-06-05,2026-06-19,annual,2765.58,12,18,9,7,6,4,3,2,1,0,2026-05-29,,748,150.0,5.166666666666667,-7,-5.0,0,0
ACC-1052,Redwood Health,Mid-Market,Hospitality,North America,2022-06-05,2022-06-05,2026-03-30,annual,31608.87,74,38,22,23,22,0,0,0,5,2,2026-02-04,4.8,1479,51.35135135135135,11.166666666666666,-22,-86.0,0,1
ACC-1414,Yarrow Health,SMB,Logistics,North America,2024-08-05,2024-08-05,2027-06-20,annual,8997.83,38,29,2,0,1,2,2,0,4,0,2026-02-26,,687,76.31578947368422,1.1666666666666667,-2,361.0,0,0
ACC-1031,Crestline Works,Mid-Market,SaaS,APAC,2025-03-20,2025-03-20,2026-09-06,annual,115796.44,212,174,147,154,141,142,151,0,7,2,2026-05-25,2.8,460,82.0754716981132,122.5,-147,74.0,0,1
ACC-1271,Yarrow Media,Enterprise,Retail,North America,2026-04-25,2026-04-25,2027-04-20,annual,617663.94,687,624,304,290,228,179,122,76,5,0,2026-05-23,,59,90.82969432314411,199.83333333333334,-228,300.0,0,0
ACC-1382,Quill Trading,Mid-Market,Media,EMEA,2026-01-26,2026-01-26,2027-04-27,annual,130892.31,227,149,76,79,69,73,80,75,3,1,2026-05-26,,148,65.63876651982379,75.33333333333333,-1,307.0,0,1
ACC-1394,Onyx Corp,SMB,Hospitality,EMEA,2025-09-03,2025-09-03,2026-11-14,annual,5470.55,17,11,5,6,7,8,9,9,7,1,2026-05-31,4.7,293,64.70588235294117,7.333333333333333,4,143.0,0,1
ACC-1355,Willow Corp,SMB,Media,EMEA,2023-04-18,2023-04-18,2026-10-18,annual,9792.57,28,26,14,14,15,14,14,15,2,0,2026-05-26,3.7,1162,92.85714285714286,14.333333333333334,1,116.0,0,0
ACC-1387,Garnet Solutions,SMB,Logistics,North America,2022-06-04,2022-06-04,2026-03-19,annual,9881.46,38,16,9,10,10,9,9,10,5,0,2026-05-29,2.6,1480,42.10526315789473,9.5,1,-97.0,0,0
ACC-1145,Keystone Brands,SMB,Hospitality,North America,2024-07-09,2024-07-09,2026-08-13,monthly,665.68,27,21,0,1,1,0,0,0,3,1,2026-03-03,,714,77.77777777777779,0.3333333333333333,0,50.0,0,1
ACC-1202,Larkfield Dynamics,Enterprise,Retail,North America,2024-08-22,2024-08-22,2027-03-14,monthly,83101.55,1488,1152,635,687,810,895,936,1055,5,0,2026-05-23,3.6,670,77.41935483870968,836.3333333333334,420,263.0,0,0
ACC-1244,Juniper Dynamics,SMB,Retail,EMEA,2025-02-02,2025-02-02,2027-08-11,annual,3092.28,16,7,2,2,2,3,3,4,4,1,2026-05-24,,506,43.75,2.6666666666666665,2,413.0,0,1
ACC-1089,Nimbus Media,SMB,Manufacturing,North America,2024-03-17,2024-03-17,2027-02-16,monthly,577.87,23,21,11,11,11,10,10,10,8,1,2026-05-15,2.9,828,91.30434782608695,10.5,-1,237.0,0,1
ACC-1235,Larkfield Foods,Mid-Market,FinServ,EMEA,2026-03-21,2026-03-21,2026-04-04,monthly,3326.91,110,39,20,20,19,0,0,0,6,1,2025-12-26,2.5,94,35.45454545454545,9.833333333333334,-20,-81.0,0,1
ACC-1306,Lumen Industries,SMB,Healthcare,EMEA,2025-12-31,2025-12-31,2027-03-06,annual,15138.76,37,34,31,28,21,17,12,8,4,1,2026-05-29,4.5,174,91.8918918918919,19.5,-23,255.0,0,1
ACC-1115,Granite Corp,Enterprise,Hospitality,LATAM,2024-03-23,2024-03-23,2026-06-08,annual,203457.34,266,145,76,85,92,104,115,123,2,0,2026-05-28,,822,54.51127819548872,99.16666666666667,47,-16.0,0,0
ACC-1030,Maple Technologies,Mid-Market,Healthcare,North America,2025-08-15,2025-08-15,2026-06-05,monthly,1979.86,74,36,26,26,25,28,25,25,3,1,2026-05-20,,312,48.64864864864865,25.833333333333332,-1,-19.0,0,1
ACC-1249,Summit Trading,Mid-Market,Logistics,APAC,2026-04-08,2026-04-08,2026-11-24,annual,32032.14,101,51,0,5,4,2,3,0,0,0,2026-05-31,,76,50.495049504950494,2.3333333333333335,0,153.0,0,0
ACC-1421,Apex  Systems,Mid-Market,SaaS,APAC,2026-04-24,2026-04-24,2026-09-28,annual,73883.81,71,158,54,64,70,78,82,94,9,1,2026-05-30,3.6,60,222.53521126760566,73.66666666666667,40,96.0,0,1
ACC-1334,Solace Networks,Enterprise,FinServ,EMEA,2022-06-14,2022-06-14,2027-02-05,annual,672062.98,1049,499,321,305,294,292,291,319,5,2,2026-05-18,2.5,1470,47.569113441372735,303.6666666666667,-2,226.0,0,1
ACC-1295,Pinnacle Logistics,SMB,Media,EMEA,2022-11-20,2022-11-20,2026-12-16,annual,10913.76,29,24,12,10,8,6,4,3,2,0,2026-05-15,4.5,1311,82.75862068965517,7.166666666666667,-9,175.0,0,0
ACC-1253,Quantum Solutions,SMB,Hospitality,North America,2023-08-05,2023-08-05,2027-01-28,annual,8368.53,36,21,21,20,20,21,19,20,10,3,2026-05-21,,1053,58.333333333333336,20.166666666666668,-1,218.0,1,1
ACC-1098,Atlas Capital,Enterprise,FinServ,EMEA,2024-02-24,2024-02-24,2027-03-23,annual,-4500.0,1171,481,442,393,297,254,173,102,2,0,2026-05-23,3.8,850,41.07600341588386,276.8333333333333,-340,272.0,0,0
ACC-1384,Willow Technologies,SMB,Retail,North America,2023-09-25,2023-09-25,2027-07-09,monthly,767.08,21,11,0,0,0,0,0,0,2,0,2026-03-29,,1002,52.38095238095239,0.0,0,380.0,0,0
ACC-1380,Xenon Media,Mid-Market,Media,North America,2025-12-05,2025-12-05,2027-02-10,annual,160695.91,239,147,138,139,136,133,149,137,9,1,2026-05-25,2.9,200,61.50627615062761,138.66666666666666,-1,231.0,0,1
